Piso,Indice,Muro,ejes,Fecha,Radicado de recibo de compra
1,0,M-09,"6; D",2026-02-15,RC-2026-613707
1,1,M-01,"7; 8; 9; A",2026-02-15,RC-2026-196416
1,2,M-04,"8; B",2026-02-15,RC-2026-391472
1,3,M-02,"6; A; B; C",2026-02-15,RC-2026-983279
1,4,M-01,"2; 3; 4; A",2026-02-15,RC-2026-705830
1,5,M-02,"5; A; B; C",2026-02-15,RC-2026-416710
1,6,M-04,"3; B",2026-02-15,RC-2026-980946
1,7,M-03,"1; B",2026-02-15,RC-2026-408420
1,8,M-05,"1; 2; C",2026-02-15,RC-2026-953461
1,9,M-07,"2; D",2026-02-15,RC-2026-710990
1,10,M-06,"3; C",2026-02-15,RC-2026-638655
1,11,M-08,"3; 4; D",2026-02-15,RC-2026-441485
1,12,M-09,"5; D",2026-02-15,RC-2026-850516
1,13,M-06,"3; E",2026-02-15,RC-2026-147124
1,14,M-05,"1; 2; E",2026-02-15,RC-2026-540093
1,15,M-03,"1; F",2026-02-15,RC-2026-647207
1,16,M-10,"2; G",2026-02-15,RC-2026-600491
1,17,M-04,"3; F",2026-02-15,RC-2026-678241
1,18,M-17,"5; E; F; G; H; I; J; L",2026-02-15,RC-2026-459201
1,19,M-18,"3; 4; G",2026-02-15,RC-2026-111743
1,20,M-03,"1; I; J",2026-02-15,RC-2026-875969
1,21,M-04,"3; I; J",2026-02-15,RC-2026-270597
1,22,M-06,"3; L",2026-02-15,RC-2026-186043
1,23,M-05,"1; 2; L",2026-02-15,RC-2026-675773
1,24,M-19,"2; N; O; P",2026-02-15,RC-2026-114943
1,25,M-20,"3; 4; 5; N",2026-02-15,RC-2026-358564
1,26,M-06,"8; C",2026-02-15,RC-2026-328032
1,27,M-03,"10; B",2026-02-15,RC-2026-851207
1,28,M-05,"10; C",2026-02-15,RC-2026-354431
1,29,M-07,"9; D",2026-02-15,RC-2026-438300
1,30,M-08,"7; 8; D",2026-02-15,RC-2026-930141
1,31,M-06,"8; E",2026-02-15,RC-2026-855291
1,32,M-11,"6; E; F",2026-02-15,RC-2026-400760
1,33,M-04,"8; F",2026-02-15,RC-2026-847282
1,34,M-05,"10; E",2026-02-15,RC-2026-684852
1,35,M-03,"10; F",2026-02-15,RC-2026-750247
1,36,M-12,"6; 7; 8; 9; G",2026-02-15,RC-2026-553944
1,37,M-13,"I; J; L",2026-02-15,RC-2026-696194
1,38,M-14,"7; 8; 9",2026-02-15,RC-2026-181400
1,39,M-15,"L",2026-02-15,RC-2026-274876
1,40,M-16,"I; J; L",2026-02-15,RC-2026-574137
1,41,M-21,"O",2026-02-15,RC-2026-737848
1,42,M-22,"Q",2026-02-15,RC-2026-301514
1,43,M-23,"4; 5; O",2026-02-15,RC-2026-343694
1,44,M-24,"4; Q",2026-02-15,RC-2026-294994
1,45,M-25,"6; 7; 8; N",2026-02-15,RC-2026-762605
1,46,M-26,"7; O",2026-02-15,RC-2026-613599
